pumpkin (Halloween)									pumpkin	/ˈpʰəmpkən/	/ˈpʰʌmpkɪn/	n	A large, round, orange vegetable often used for decoration or cooking during Halloween.	We spent the afternoon carving a pumpkin into a spooky face.
lantern (Halloween)									lantern	/ˈlæntə˞n/	/ˈlæntən/	n	A light source, often enclosed, used for illumination.	On Halloween night, we placed a lantern inside the carved pumpkin.
costume (Halloween)									costume	/ˈkʰɑˌstum/	/ˈkʰɒstjuːm/	n	An outfit worn to disguise oneself, often for entertainment or special occasions.	I dressed up in a witch costume with a pointy hat and a black cloak.
disguise (Halloween)									disguise	/dəˈskaɪz/	/dɪsˈɡaɪz/	n	A way of altering one's appearance to hide identity or take on a different role.	With my mask and cape, my disguise was complete.
superstition (Halloween)									superstition	/ˌsupə˞ˈstɪʃən/	/ˌsuːpəˈstɪʃᵊn/	n	A belief that certain actions or objects bring good or bad luck, often irrational.	My grandmother had a superstition about black cats crossing the road.
haunted (Halloween)									haunted	/ˈhɔntəd/	/ˈhɔːntɪd/	adj	Said to be inhabited by ghosts or supernatural beings.	We visited a haunted house that had eerie sounds and flickering lights.
spooky (Halloween)									spooky	/ˈspuki/	/ˈspuːki/	adj	Slightly scary or eerie, often in a fun way.	The fog made the street look extra spooky that night.
chilling (Halloween)									chilling	/ˈtʃɪlɪŋ/	/ˈtʃɪlɪŋ/	adj	Causing a feeling of fear or unease.	There was a chilling silence before the sudden scream.
eerie (Halloween)									eerie	/ˈɪri/	/ˈɪəri/	adj	Strangely frightening or mysterious.	The eerie glow of the jack-o'-lanterns made the night feel magical.
thrilling (Halloween)									thrilling	/ˈθɹɪlɪŋ/	/ˈθrɪlɪŋ/	adj	Causing excitement or nervous anticipation.	Telling ghost stories in the dark was both thrilling and terrifying.
mischief (Halloween)									mischief	/ˈmɪstʃəf/	/ˈmɪstʃɪf/	n	Playful, slightly naughty behavior, often by children.	We got into some mischief by scaring the neighbors with fake spiders.
tradition (Halloween)									tradition	/tɹəˈdɪʃən/	/trəˈdɪʃᵊn/	n	A custom or belief passed down through generations.	One fun tradition was going door to door for trick-or-treating.
anticipation (Halloween)									anticipation	/ænˌtɪsəˈpʰeɪʃən/	/ænˌtɪsɪˈpʰeɪʃᵊn/	n	Excitement or nervousness before an event.	The anticipation of getting candy made the night even more exciting.
nostalgia (Halloween)									nostalgia	/nɑˈstældʒə/	/nɒsˈtʰældʒə/	n	A sentimental longing for past experiences.	Seeing kids in costumes filled me with nostalgia for my childhood Halloweens.
